,내용
0,요새 기업이나 단체에서 친환경을 주제로 여러가지 활동을 하는 것 너무너무 응원하고 다 참가하려고 노력합니다만 친환경 키트에서 제발 텀블러 에코백을 빼 주십쇼 집에 텀블러 천만개 에코백 천만개가 있습니다
1,언제부터인가 우리는 미세먼지와 스모그가 가득한 뿌연 대기와 공생하고 있어요 안타깝게도 전 세계적으로 화석연료의 사용량은 점점 늘어나고 있죠 친환경 에너지에 대한 관심이 더욱 필요한 때입니다 차학연 드라마
2,전 세계 해안도시가 침수 위험에 놓였는데요
