,내용
0,김짱준이 에어팟 개 질릴 때마다 인천앞바다에 집어 던지며 엉엉 우는 아방재벌수인것도 아니고 서른세개의 에어팟 자선기부 보다 경유차 매연이 더욱 심각한 환경오염 주범이라는 점 아무래도 따릉이 정기이용권 끊고 열심히 발전기 돌
1,미니백 빼고 포카만 해도 살텐데 진짜 환경오염의 주범
2,진짜 그 많은 앨범 다 환경오염임 백장씩 사봤자 그거 다 필요도 없는데
3,진짜미친새끼같다생리대에돌돌감싸서저멀리바다에던져버리고싶은데환경오염이니까그냥불태워버리고싶다
4,안녕하세요 빵탄소년단입니다 환경을 보호하고자 마음을 모아 활동을 시작하였습니다 저희와 함께 탄소중립에 대해 알아가고탄소중립 실천을 통해우리의 지구 를 지켜가요 대외활동맞팔 탄소중립 탄소발자국 대학생 대학생공스타그램 대외활동 대외활동계정 대학생대외활동 대외활동스타그램 대외활동추천 대외활동맞팔환영 환경 환경보호 환경부 환경오염 환경오염 환경운동 환경교육 환경보호실천 환경과생활 환경보호캠페인대외활동맞팔 탄소중립 탄소발자국 대학생 대학생공스타그램 대외활동 대외활동계정 대학생대외활동 대외활동스타그램 대외활동추천 대외활동맞팔환영 환경 환경보호 환경부 환경오염 환경오염 환경운동 환경교육 환경보호실천 환경과생활 환경보호캠페인
