,단어,회귀계수,points
2347,소재,4.0173711882974406,1.0
3610,정화,3.0197765674971615,0.7516785405818521
1194,마련,2.576297455630173,0.6412876282973301
4887,확대,2.570740790336754,0.6399044620227836
3792,지속,2.5556529700129276,0.6361487986660126
1973,사업,2.3947365263669305,0.5960934442190363
4075,친환경,2.38764262692793,0.5943276293029083
3543,전환,2.3555987863883034,0.5863512698857142
4116,캠페인,2.3479425428215293,0.5844454761529483
1678,변신,2.3030723737624306,0.5732763843868399
1883,브랜드,2.284607092726313,0.5686800028107478
4943,효율,2.2484811809931493,0.5596875333874525
3622,제도,2.239213967735571,0.557380736745932
3458,저감,2.22355678773108,0.5534833482596458
2444,숲,2.1174930011450233,0.5270819285573864
303,고민,2.103192943054543,0.5235223551387329
293,고기,2.0995805819290867,0.5226231654599643
2569,실시,2.0534867488450956,0.5111494789915961
3953,청정,2.029465477783676,0.5051700992288368
4006,최초,1.9521390913222139,0.4859219991115386
4590,플,1.9359352116611968,0.4818885260336345
3283,인증,1.9221877623048866,0.4784665080954289
2377,수거,1.8983197908035383,0.47252528769088126
3243,이용,1.879040080116913,0.4677261781176742
3360,자원,1.8627631300136387,0.4636745163301648
2576,실천,1.8482229593749586,0.46005517404633267
101,강화,1.8434793212930936,0.45887438667350655
2236,설비,1.8368478602997231,0.45722368203094615
113,개발,1.8301175767062081,0.4555483784463108
4279,텀블러,1.8160855448129969,0.45205552216413786
371,공급,1.814462556102444,0.4516515274785005
2600,씨,1.8084212759369598,0.4501477307697297
3436,재료,1.7937566810025785,0.44649741676446747
3861,차,1.7819744451497235,0.4435645801781568
1722,보일러,1.7768813533117584,0.44229680670405813
3365,자전거,1.7645156424171808,0.43921873138963724
239,경영,1.7604564427619365,0.4382083145715801
3959,체계,1.7094639965100005,0.42551526429989334
1614,버스,1.705190884317752,0.4244516003288653
4582,프로젝트,1.7030826390991973,0.4239268154928536
3478,적용,1.6917375058253274,0.4211027825709432
2929,오늘,1.691123775415442,0.42095001267032983
2771,에코,1.6752750470211886,0.41700494391923165
946,대응,1.6572818984274849,0.4125260856483924
3799,지원,1.6510864317167024,0.41098390879286373
1749,본격,1.6341886840545354,0.40677771794854783
4335,통합,1.6238208697736762,0.404196959472591
4792,현대,1.6215345810085866,0.4036278560001375
801,노력,1.5998622324288831,0.39823317050753376
3406,장바구니,1.5722551533067264,0.39136121066036983
176,건축,1.5520460050119325,0.38633074528543104
2544,신규,1.543092009885642,0.38410191496595747
137,갯벌,1.5183118121677475,0.37793362302284184
4988,희망,1.5180082731862914,0.3778580660367737
3892,창출,1.5058543351001228,0.3748327052536391
2922,예정,1.5057939181383777,0.37481766625102086
4750,행사,1.5029655779954965,0.37411363523745367
1669,벽돌,1.4980421062069755,0.37288808362115805
3003,용기,1.4972411774821104,0.3726887162772475
4018,추진,1.4921050097430333,0.3714102203409313
275,계약,1.4911736635180155,0.37117838944589854
3472,저탄소,1.485286163111852,0.3697128716266358
4577,프레시,1.4754539251521697,0.36726542891936037
4461,페트병,1.4723778150290865,0.36649972295105615
2529,식물,1.4572904787510033,0.3627441800830518
2820,역할,1.4530379558251376,0.36168564119647184
283,계획,1.4514960378387773,0.3613018266522746
1293,모델링,1.4456156245941907,0.35983807297073794
3475,적극,1.443389360361111,0.35928391081721184
971,대한민국,1.441225430377051,0.358745264917849
1250,먹거리,1.42545299464974,0.35481918695319153
4425,팜,1.4216060035609792,0.35386159313541077
514,구축,1.4171278184273695,0.35274688236538826
1981,사용,1.4127446546336744,0.35165582432695774
1114,라벨,1.4115873105309127,0.3513677379934366
3379,작업,1.4006449925592794,0.34864397393990393
4917,활용,1.4004657888499585,0.3485993665155014
959,대체,1.3966648623401818,0.3476532391022524
3347,자발,1.3925013834504014,0.3466168650755585
1521,발자국,1.3923046363431342,0.34656789074490935
508,구제,1.3795879176958539,0.34340244250806
998,도시,1.3771022292222976,0.342783704418918
3864,차량,1.3762445437573105,0.3425702091755129
3595,정원,1.3739526209869193,0.34199970328529405
3206,이노베이션,1.3692797043479543,0.3408365199086673
1724,보전,1.3657634023477334,0.33996124128722754
4415,판매,1.3595892770293887,0.33842437673552017
3546,절감,1.3517603010017427,0.33647558640285463
4101,카톡,1.3465342541378944,0.33517471773620383
2650,암모니아,1.34553152905524,0.33492511920115947
3618,제공,1.3436765022582935,0.3344633655470469
452,관리,1.3353621359335859,0.3323937517612065
577,글로벌,1.3330516427193042,0.33181862331225204
3431,재고,1.3326055207190988,0.3317075745316555
1548,방법,1.332046364842089,0.3315683893350574
2056,삼성,1.3294154827247533,0.3309135096140643
3751,중립,1.325691490133106,0.32998653260763416
38,가치,1.324497046912501,0.3296892115540234
3345,자리,1.3235887173506147,0.32946310997153966
3713,주문,1.3228774507028034,0.32928606133040095
3909,챌린지,1.3144281052368574,0.3271828485087955
247,경쟁력,1.3141987242994877,0.32712575095840507
1706,보급,1.311235617441982,0.32638817378634943
1734,보호,1.3109866546576823,0.32632620191856965
3307,일상,1.3102480331819244,0.3261423441079986
4237,탄생,1.3023935353532365,0.3241872008833371
4725,해외,1.2935345491582932,0.32198202020671235
2967,완공,1.292212950217338,0.3216530475248827
519,국내,1.2898967994523156,0.3210765107972273
2839,연료전지,1.289044207795042,0.32086428350549223
3905,책,1.2815115012326448,0.3189892406294164
620,기술,1.2751223004235053,0.31739883944203995
2618,아웃,1.264010480305913,0.31463288287926405
4827,형태,1.2620247258380186,0.3141385884662508
2919,예술,1.2525802991670931,0.3117876798252133
2911,영향력,1.2492639074434935,0.3109621629111928
3340,자동,1.2441601909843831,0.3096917447542003
2558,신축,1.2436934126974675,0.30957555420644195
2610,아마존,1.2434983893091924,0.309527008944281
1462,바이,1.2399662808830345,0.30864779578402646
2619,아이디어,1.2376341607410788,0.30806728395576066
4905,환경친화,1.2291199562340627,0.30594792640823226
