Unnamed: 0,단어,회귀계수,points
2336,소재,3.95352765796524,1.0
4144,캠페인,2.982732630575988,0.7544449724971579
3587,정화,2.864291277478935,0.7244861563756585
1353,마련,2.7385849844268813,0.6926897303775877
3789,지속,2.6446579035309847,0.6689316081355734
2799,에코,2.6247502923134,0.6638961332081871
3523,전환,2.5976102816995463,0.6570312792846614
4896,확대,2.552980746321493,0.6457425865348965
1771,변신,2.3517506933180634,0.594843014734924
2434,숲,2.348331158836188,0.5939780701688171
37,가장,2.2438928951354167,0.5675612262503231
1948,브랜드,2.186529990306192,0.5530517270506169
4099,친환경,2.1826606406337987,0.5520730052417734
282,고민,2.164804695652853,0.5475564832807196
2843,연구,2.144861584205881,0.5425120288473021
4098,친환,2.137960339172416,0.540766412763386
2572,실천,2.133183617185934,0.5395581782075104
3429,재사용,2.0228575306256382,0.511652055436723
2362,수거,1.935342452274696,0.4895157992084939
4503,페트병,1.928415505912317,0.4877636821739651
1506,무공,1.910957977556509,0.483347936589575
114,개발,1.8804215159590432,0.475623976890718
221,경영,1.8676764609763747,0.4724002146767615
1956,비건,1.8667678486673287,0.47217038828268
357,공급,1.8651999971401136,0.4717738124721085
2041,사업,1.8645930860732451,0.4716202990531971
4020,최초,1.8568023739829909,0.469649699217376
2565,실시,1.8519759909966187,0.4684289032990604
1717,버스,1.846385613616816,0.4670148609600299
4959,효율,1.8440600389239037,0.466426624986867
3262,인증,1.8150166485108885,0.4590803259943566
1811,보일러,1.786988412906361,0.4519908024898587
3970,청정,1.785023514164326,0.4514937966842786
4337,텀블러,1.7762375837048627,0.4492714641272057
3446,재활용,1.7666198097335717,0.4468387232443154
2839,역할,1.7657990054707076,0.446631107210389
3930,처리기,1.7559114696770712,0.4441301321793661
66,감,1.750613459142334,0.4427900417525884
3974,체계,1.7431045393235185,0.4408907190731299
2247,설비,1.7334705706321778,0.4384538818621631
3903,창,1.725792313163106,0.4365117265453376
1012,대응,1.7217939840873584,0.4355003804027837
4585,프로젝트,1.719626715261206,0.4349521866634285
583,금,1.7018476986174411,0.4304551231250276
3432,재생에너지,1.6931933062415936,0.428266062099873
3797,지원,1.691594291127512,0.427861603703159
3354,자원,1.6864052449679168,0.4265490749648737
1106,도전,1.6824613194955869,0.4255514897893176
4746,행사,1.6727289192100234,0.4230897550746094
3425,재료,1.6658386038669477,0.4213469035705979
3398,장바구니,1.6622266498467009,0.4204332879836228
1836,본격,1.656793666769525,0.4190590573053651
4394,통합,1.6532357204502184,0.4181591025449451
2898,영향력,1.637654185615704,0.4142178748842357
3518,전지,1.6259426157259842,0.411255524660723
1018,대전,1.616585717541836,0.4088887702726945
265,계획,1.6101503304282183,0.4072609893147249
3596,제도,1.6010997130484377,0.4049717062663902
3215,이용,1.5854607659175477,0.4010159566132748
2636,아웃,1.5849255050048914,0.4008805665418176
1382,만들기,1.5777336193080431,0.3990614351698367
3749,중이,1.5712868903494153,0.397430785380667
3217,이유식,1.566658377457893,0.3962600391589528
4581,프레,1.5642298663172287,0.3956457662144976
257,계약,1.5524501375897566,0.3926661757447881
3525,절감,1.5459286211133307,0.3910166090365247
507,구축,1.5155231109275742,0.383325772475505
134,갯벌,1.515176981464407,0.3832382217284887
3693,주문,1.5137441682570387,0.3828758028072794
3374,작업,1.489952178510656,0.3768578046390854
802,노력,1.481732087033712,0.3747785966376548
1612,박스,1.479063847893515,0.3741036863662072
4989,희망,1.478954321593858,0.3740759825432932
1791,보급,1.467977103306739,0.3712993808278444
1764,벽돌,1.4568118015958929,0.3684752048778938
565,그린,1.4523025038292323,0.3673346131918315
3463,적용,1.4240071483806864,0.3601775238070045
271,고기,1.422902914001154,0.3598982163365441
579,글로벌,1.4037851229672478,0.3550625202620089
4800,현대차,1.403100787084282,0.3548894228399767
1318,롯데,1.40303883464756,0.3548737524544947
2908,예정,1.402020497701001,0.354616172069486
3185,이노베이션,1.3983517215714498,0.3536881837733197
4957,효과,1.3949674121393707,0.3528321491087137
3878,차량,1.392553792561851,0.3522216428689639
4822,협약,1.3865386810649365,0.3507001673490184
390,공정,1.3781288421254765,0.348572964207458
4033,추진,1.3716003463564037,0.3469216321415759
2103,삼성,1.359761815189084,0.3439271680535158
389,공장,1.3477398358609731,0.3408863021845467
4468,판매,1.345769261644666,0.3403878608120327
4254,클린,1.3413135073817035,0.339260812537455
1777,병,1.3357648488336609,0.337857322651405
4030,추세,1.3291229075775477,0.3361772954347398
1094,도시,1.3282797392255814,0.3359640225789719
1262,라벨,1.3241869834062263,0.3349287919283918
44,가치,1.3226331638160902,0.3345357653868195
3026,울산,1.3197740945217702,0.333812586116848
2171,생수,1.31786415942831,0.3333294829373184
2989,용기,1.317580763472535,0.3332578001415158
1041,대한민국,1.313456036494924,0.3322144826359113
1494,목표,1.3125150738751066,0.331976473483135
4405,투자,1.3046990219747243,0.3299994641400572
3362,자전거,1.3041262337159585,0.3298545818192105
2541,신규,1.301834593369241,0.3292749292741433
4691,해결,1.3017368019854672,0.3292501937066397
2053,사이클링,1.282659838160961,0.3244248245561661
1468,모델링,1.2792310995331406,0.3235575518731582
1345,린지,1.2703421556466024,0.3213091628734741
443,관심,1.265563101722447,0.3201003384721589
2528,식물성,1.265022830064382,0.3199636809717472
3419,재고,1.264255552382204,0.3197696040687615
3600,제로,1.2595003987571731,0.3185668250616267
2954,완공,1.2535163795209805,0.317053214086432
3337,자동차,1.252801432168427,0.3168723737320151
1204,듯,1.250151635372149,0.3162021283075644
107,강화,1.2465276716129126,0.3152854749508185
1425,먹거리,1.245257338968146,0.3149641542201569
