,단어,회귀계수,points
1786,소재,4.0380626670986,1.0
2882,정화,3.008596023860288,0.7450207345481356
3054,지속,2.5868728496098767,0.6405679425119142
957,마련,2.577525161330974,0.6382526982962006
3919,확대,2.5654354309269722,0.6352583025106056
2832,전환,2.3723328140354156,0.5874304649257369
3369,캠페인,2.3227582444559793,0.57515178895359
1515,사업,2.311188073917288,0.5722860782435972
1453,브랜드,2.2952714913498093,0.568343844118562
2890,제도,2.2899549218098088,0.5670270311796124
1304,변신,2.274838195067523,0.5632829060968804
3960,효율,2.2676875806602066,0.561511835201983
2766,저감,2.2120762873606394,0.5477379778269176
3336,친환경,2.14414946530307,0.5309137987177853
210,고민,2.1021162409877343,0.5205029702262626
204,고기,2.0998235866409716,0.5199351234435502
3215,청정,2.0904719502918634,0.5176189013660986
1883,숲,2.0780511024900417,0.514542494112304
2008,실시,2.043602398677623,0.5060102067851215
3267,최초,1.9547410395277376,0.48400094185952935
2619,인증,1.9528535156429374,0.48353343817028377
3699,플,1.9342206744745825,0.4789184385628719
2693,자원,1.8909589985328747,0.46820334601831465
70,강화,1.8824073008653726,0.4660852535051206
2579,이용,1.8674649929129847,0.46238432863214884
1709,설비,1.8499138238147061,0.4580372385793587
2057,아웃,1.8444909196570933,0.4566940885824103
2015,실천,1.8391918821890836,0.4553816180035241
1816,수거,1.838752944191054,0.4552729014277597
257,공급,1.8302935069431814,0.4531776600619845
3489,텀블러,1.8112514594287392,0.4484613078422963
2750,재료,1.8068496725871133,0.4473710691415814
77,개발,1.8009566957624115,0.4459114911047829
1336,보일러,1.7861478930830688,0.44224363294327634
2698,자전거,1.7724192199057454,0.4388433022716858
3123,차,1.7658514836776529,0.43721659919187267
3221,체계,1.7563979179341862,0.4348751311462567
168,경영,1.7414743856141213,0.4311788566395397
2039,씨,1.7358459322297088,0.42978479601697
1256,버스,1.7217905044389055,0.4263035344557043
3693,프로젝트,1.719711332266959,0.42578856313863156
2298,오늘,1.7016064055278786,0.42130431787307426
2183,에코,1.6884183736613845,0.41803789374931954
746,대응,1.6851117322224287,0.4172189016909023
3523,통합,1.680959496874047,0.4161904721385049
3061,지원,1.6375600306091294,0.40544125155723154
2783,적용,1.6250482690174277,0.4023423266905397
3846,현대,1.6188133139877372,0.4007980471706176
611,노력,1.5752742045226216,0.39001423963031484
120,건축,1.561811814022018,0.3866798621022851
1356,본격,1.5609807193442171,0.38647401579161683
1983,신규,1.5560532083536296,0.3852535652397332
2731,장바구니,1.551995253752655,0.38424848723143684
94,갯벌,1.530655638867193,0.37896307136657215
3279,추진,1.5258475311927717,0.37777219474022417
3812,행사,1.522723322056951,0.3769983876860551
2778,저탄소,1.5141763933099475,0.37488147634357083
3988,희망,1.492182084706607,0.3694339053235323
1298,벽돌,1.4915550475510189,0.3692786001716918
2371,용기,1.4907912444401514,0.36908942069954664
190,계약,1.489446231032688,0.36875628651505366
3154,창출,1.4842984785568485,0.3674812863451708
3689,프레시,1.4838399433244223,0.3673677159079782
2214,역할,1.4792504501356991,0.36623098592285125
1968,식물,1.468439850684331,0.36355340649343587
3611,페트병,1.4683013105607567,0.36351909274546107
381,구축,1.4534214848818507,0.3598336435406917
2682,자발,1.4467384297472166,0.35817837816575626
2780,적극,1.4393797200101013,0.3563557660240545
1190,발자국,1.4365576505488638,0.35565679320836713
1042,모델링,1.4308718838632344,0.35424853717350224
3585,팜,1.430397751602623,0.3541311036497142
765,대한민국,1.4293900927998124,0.35388152577066945
197,계획,1.4286811451915726,0.35370593296095565
1521,사용,1.4277268280271949,0.35346956678903607
1013,먹거리,1.4202221623475677,0.3516108041423573
3943,활용,1.4196244398283284,0.35146275966719076
1338,보전,1.4184929032896811,0.35118249963414233
2291,예정,1.4178023538222029,0.3510114636932187
2709,작업,1.4016728292254212,0.3470164878862919
754,대체,1.3949054577058306,0.3453403389499095
877,라벨,1.3919605587143205,0.34461094360075745
375,구제,1.3715827484212633,0.33956374840102105
789,도시,1.3675783362160665,0.33857193182361767
2888,제공,1.3630944720268094,0.3374613641283242
2870,정원,1.3630240012257377,0.3374439098541026
3126,차량,1.3625220449605713,0.3373195848547238
2089,암모니아,1.352438923396447,0.3348221878319364
2681,자리,1.350946029466233,0.3344524264606247
2554,이노베이션,1.3492556709678176,0.3340337568795293
2834,절감,1.339163282215642,0.33153406455089823
444,글로벌,1.3361043174587253,0.33077641728579765
172,경쟁력,1.334736378588482,0.33043760490114327
2975,주문,1.3341695137034002,0.33029720327379775
31,가치,1.332602009751873,0.3299089624223059
2746,재고,1.3274266526822391,0.32862712512069564
1574,삼성,1.3262623361864612,0.32833874611706604
3013,중립,1.323527563911514,0.3276613951505008
3167,책,1.3215000389110994,0.32715921585339913
3171,챌린지,1.3199991539972031,0.32678747526774093
1347,보호,1.3189770311522049,0.32653431492113716
2288,예술,1.318333407457705,0.3263749015997548
2049,아마존,1.3128637135027708,0.3250201626618436
319,관리,1.3098769931521157,0.3242804089591645
3460,탄생,1.309832093790366,0.32426928824306034
3356,카톡,1.309586272951042,0.324208403106611
1324,보급,1.3082934262642305,0.3238881896245033
3581,판매,1.3064043701337593,0.3234203064272102
2229,연료전지,1.3034501081597356,0.32268859204575207
